lat,lon
25.696395,-80.297496
25.699544,-80.297055
25.698612,-80.292015
25.939942,-80.341607
25.939221,-80.349899
25.944992,-80.346589
27.938951,-82.492018
27.944691,-82.48961
28.355484,-81.55574
28.350659,-81.566172
28.359252,-81.555855
28.356997,-81.562355
28.355205,-81.569047
28.358443,-81.561472
28.360869,-81.568145
28.361856,-81.562271
28.36085,-81.569106
28.357053,-81.557258
28.361094,-81.554015
28.362079,-81.560288
28.358308,-81.569531
28.365122,-81.538731
28.363816,-81.569289
28.366269,-81.547816
28.366125,-81.54293
28.368924,-81.53689
28.36974,-81.549756
28.369936,-81.545257
28.369995,-81.534516
28.367864,-81.561979
28.373008,-81.546441
28.372417,-81.543484
28.368742,-81.559476
28.365742,-81.552825
28.374055,-81.550881
28.365803,-81.552549
28.366395,-81.564633
28.376095,-81.553134
28.389307,-81.49552
28.38623,-81.497092
28.540215,-81.374352
28.543629,-81.379891
28.544413,-81.375581
28.661909,-81.231039
29.517494,-95.160932
29.520756,-95.158365
29.561706,-95.56563
29.675001,-95.247783
29.678037,-95.253128
29.684152,-95.2556
29.718154,-95.47157
29.719878,-95.393287
29.716811,-95.4643
29.726535,-95.387851
29.747605,-95.570569
29.751638,-95.566159
29.753381,-95.571375
29.755539,-95.573722
30.51558,-96.358861
31.779278,-106.254404
31.784434,-106.256676
31.780689,-106.250375
32.279572,-106.736084
32.273901,-106.732717
32.523069,-92.067286
32.704247,-117.162538
32.705033,-117.150329
32.715576,-117.158919
32.712921,-117.159517
32.719173,-117.158998
32.721349,-117.15558
32.713623,-117.157826
32.722682,-117.157858
32.722331,-117.159167
32.735301,-117.215517
32.854009,-117.211213
32.85544,-117.199777
32.864553,-117.228194
32.863603,-117.208393
32.861361,-117.228624
32.874184,-117.202706
32.873825,-117.197788
32.874262,-117.203742
32.871604,-117.205467
32.872301,-117.215758
32.895406,-96.969476
32.889656,-96.958301
32.890383,-96.973642
32.897732,-96.967001
32.891681,-96.966945
32.94357,-117.102205
32.937963,-117.100172
32.936834,-117.09963
32.936895,-117.159435
32.938558,-117.160137
32.942733,-117.162159
32.971591,-117.072453
32.969948,-117.069187
32.972788,-117.073471
32.973235,-117.074786
32.992595,-117.219321
33.016023,-117.08096
33.014312,-117.0805
33.018353,-117.081139
33.009376,-117.080378
33.011615,-117.085941
33.009583,-117.086493
33.012212,-117.080632
33.013638,-117.089095
33.013136,-117.089631
33.013577,-117.083507
33.015023,-117.087641
33.012012,-117.08558
33.018768,-117.085317
33.018968,-117.082502
33.011277,-117.085708
33.013795,-117.086671
33.010342,-117.085241
33.01313,-117.089924
33.01469,-117.087905
33.018645,-117.085817
33.010789,-117.08195
33.014575,-117.089185
33.015547,-117.080507
33.016275,-117.084635
33.013946,-117.081894
33.072916,-96.836676
33.081119,-96.828134
33.186082,-96.885249
33.193237,-96.875836
33.185447,-96.87832
33.21254,-117.244077
33.211667,-117.247869
33.213247,-117.247334
33.426198,-112.248299
33.421426,-112.24594
33.452337,-111.713282
33.443548,-111.713293
33.696927,-117.144314
33.69338,-117.147318
33.777823,-118.16261
33.785252,-118.16669
33.777541,-118.164993
33.970376,-118.231387
33.971234,-118.229811
33.972534,-118.234802
33.970282,-118.228241
33.971341,-118.234818
33.979202,-84.433399
33.988387,-117.884763
33.989809,-117.889228
33.991786,-118.207712
33.999529,-118.178135
33.99832,-118.18342
34.011501,-118.491352
34.010326,-118.493946
34.013402,-118.494814
34.013574,-118.494387
34.009129,-118.499389
34.0134,-118.492932
34.01854,-117.683615
34.013936,-117.690809
34.011256,-118.489487
34.022312,-117.694262
34.030209,-117.690163
34.029701,-117.695764
34.030154,-117.691825
34.032631,-117.694697
34.030912,-117.691901
34.031936,-117.685724
34.040465,-118.059454
34.097736,-118.312636
34.10439,-118.089295
34.104129,-118.093006
34.104465,-118.093234
34.103966,-118.090593
35.101322,-80.786058
35.102317,-80.787906
35.948558,-115.363548
36.033267,-115.046367
36.028537,-115.040968
36.061179,-95.817981
36.096576,-115.170609
36.099243,-115.170735
36.101417,-115.167731
36.101099,-115.167165
36.101769,-115.172056
36.104379,-115.171372
36.098767,-115.16751
36.1052,-115.170399
36.10985,-115.159082
36.115693,-115.171395
36.109789,-115.162944
36.115287,-115.166387
36.124028,-115.155751
36.125133,-115.158165
36.123266,-115.151393
36.119311,-115.154707
36.123148,-115.158687
36.124853,-115.152263
36.129164,-115.157998
36.129484,-115.150482
36.123456,-115.150253
36.129406,-115.159717
36.130528,-115.156611
36.130486,-115.146335
36.126558,-115.152478
36.131201,-115.149842
36.125435,-115.159404
36.130297,-115.154626
36.130964,-115.14707
36.1264,-115.151725
36.131429,-115.14443
36.124801,-115.154451
36.127239,-115.155237
36.12547,-115.157692
36.130719,-115.14948
36.128679,-115.157221
36.125566,-115.153399
36.13216,-115.154116
36.127353,-115.149107
36.122903,-115.155853
36.123692,-115.148998
36.123962,-115.156109
36.131002,-115.156036
36.132645,-115.154061
36.126315,-115.151478
36.129719,-115.151093
36.131153,-115.157882
36.132055,-115.150138
36.130973,-115.148697
36.124118,-115.157919
36.125117,-115.149233
36.125704,-115.150148
36.131715,-115.150181
